District,Province,Total Population,Male,Female
Muzo,Southern Province,21816,10099,11717
Mwendo,Eastern Province,25908,12485,13423
Mwiri,Western Province,37931,18640,19291
Mwogo,Western Province,30171,14802,15369
Mwulire,Western Province,33936,16342,17594
Nasho,Western Province,33665,16077,17588
Ndaro,Northern Province,24444,11317,13127
Ndego,Western Province,24389,11908,12481
Ndera,City of Kigali,95164,48058,47106
Ndora,Eastern Province,30171,14121,16050
Nduba,City of Kigali,68424,33609,34815
Nemba,Southern Province,38255,17853,20402
Ngamba,Eastern Province,16416,7991,8425
Ngarama,Western Province,38006,18353,19653
Ngera,Eastern Province,24242,11477,12765
Ngeruka,Western Province,37328,17900,19428
Ngoma,Eastern Province,59936,36013,23923
Ngoma,Southern Province,12703,6061,6642
Ngoma,Western Province,404048,192720,211328
Ngororero,Northern Province,406778,189319,217459
Niboye,City of Kigali,26912,13652,13260
Nkanka,Northern Province,19857,9359,10498
Nkomane,Eastern Province,18012,8411,9601
Nkombo,Northern Province,18637,9028,9609
Nkotsi,Southern Province,17349,8108,9241
Nkungu,Northern Province,21696,10221,11475
Northern Province,Southern Province,2038511,972960,1065551
Ntarabana,Southern Province,24748,11930,12818
Ntarama,Western Province,45530,22652,22878
Ntongwe,Eastern Province,38100,18275,19825
Ntyazo,Eastern Province,33826,16202,17624
Nyabihu,Northern Province,319047,150072,168975
Nyabimata,Eastern Province,18843,8850,9993
Nyabinoni,Eastern Province,16253,7640,8613
Nyabirasi,Northern Province,33304,15630,17674
Nyabitekeri,Northern Province,29293,13663,15630
Nyagatare,Western Province,735776,359515,376261
Nyagihanga,Western Province,28812,13858,14954
Nyagisozi,Eastern Province,47766,23009,24757
Nyakabanda,City of Kigali,29580,14752,14828
Nyakabuye,Northern Province,33200,15739,17461
Nyakaliro,Western Province,37538,18145,19393
Nyakarenzo,Northern Province,18384,8842,9542
Nyakiriba,Northern Province,50834,28756,22078
Nyamabuye,Eastern Province,59961,28810,31151
Nyamagabe,Eastern Province,371501,176725,194776
Nyamasheke,Northern Province,434221,204858,229363
Nyamata,Western Province,81480,40096,41384
Nyamirama,Western Province,38562,18342,20220
Nyamirambo,City of Kigali,55315,27838,27477
Nyamiyaga,Eastern Province,45645,21804,23841
Nyamiyaga,Southern Province,20939,10040,10899
Nyamugari,Western Province,42938,20867,22071
Nyamyumba,Northern Province,48718,23728,24990
Nyange,Northern Province,24859,11536,13323
Nyange,Southern Province,31274,14612,16662
Nyankenke,Southern Province,27183,14830,12353
Nyanza,Eastern Province,385345,187926,197419
Nyarubaka,Eastern Province,28225,13363,14862
Nyarubuye,Western Province,22660,10871,11789
Nyarugenge,City of Kigali,390984,204586,186398
Nyarugenge,Western Province,25406,12181,13225
Nyarugunga,City of Kigali,49247,24018,25229
Nyaruguru,Eastern Province,318126,151980,166146
Nyarusange,Eastern Province,28308,13585,14723
Nyundo,Northern Province,42305,20062,22243
Nzahaha,Northern Province,30399,14631,15768
Nzige,Western Province,19285,9341,9944
Rambura,Northern Province,28820,13435,15385
Rangiro,Northern Province,17967,8354,9613
Remera,City of Kigali,38648,20300,18348
Remera,Southern Province,19987,9522,10465
Remera,Western Province,64115,30544,33571
Rilima,Western Province,32862,17652,15210
Rongi,Eastern Province,29389,13894,15495
Rubavu,Northern Province,626790,306063,320727
Rubaya,Southern Province,12044,5801,6243
Rubengera,Northern Province,40337,19188,21149
Rubona,Western Province,29916,14251,15665
Rugabano,Northern Province,34207,16223,17984
Ruganda,Northern Province,19132,9184,9948
Rugarama,Southern Province,27051,13046,14005
Rugarama,Western Province,49442,23625,25817
Rugarika,Eastern Province,59952,29280,30672
Rugendabari,Eastern Province,17363,8170,9193
Rugengabari,Southern Province,20920,9768,11152
Rugera,Northern Province,26938,12554,14384
Rugerero,Northern Province,66926,32404,34522
Ruhango,Eastern Province,434739,208422,226317
Ruhango,Northern Province,30452,14314,16138
Ruharambuga,Northern Province,28180,13244,14936
Ruhashya,Eastern Province,24050,11369,12681
Ruheru,Eastern Province,27712,13095,14617
Ruhuha,Western Province,30028,14606,15422
Ruhunde,Southern Province,20157,9528,10629
Rukara,Western Province,38231,18408,19823
Rukira,Western Province,29893,14301,15592
Rukoma,Eastern Province,39688,19409,20279
Rukomo,Southern Province,28127,13486,14641
Rukomo,Western Province,43650,20892,22758
Rukozo,Southern Province,17021,8045,8976
Rukumberi,Western Province,39420,18739,20681
Ruli,Southern Province,22464,10962,11502
Rulindo,Southern Province,360144,171849,188295
Runda,Eastern Province,72778,35695,37083
Ruramba,Eastern Province,18705,8915,9790
Ruramira,Western Province,21185,10022,11163
Rurembo,Northern Province,24399,11500,12899
Rurenge,Western Province,33391,15842,17549
Rusarabuye,Southern Province,20659,9991,10668
Rusasa,Southern Province,19242,9124,10118
Rusatira,Eastern Province,29842,14211,15631
Rusebeya,Northern Province,26648,12322,14326
Rusenge,Eastern Province,26911,12853,14058
Rushaki,Southern Province,15048,7102,7946
Rushashi,Southern Province,18835,8974,9861
Rusiga,Southern Province,13452,6416,7036
Rusizi,Northern Province,485529,236426,249103
Rusororo,City of Kigali,61787,30812,30975
Rutare,Southern Province,27837,13371,14466
Rutsiro,Northern Province,369180,176498,192682
Rutunga,City of Kigali,22468,10865,11603
Ruvune,Southern Province,21990,10606,11384
Rwabicuma,Eastern Province,20604,9731,10873
Rwamagana,Western Province,484953,243794,241159
